Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
ZAF,2006-02-01,2006-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,Index,50.431230,X,base year is 2015
ZAF,2007-02-01,2007-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,Index,54.134780,X,base year is 2015
ZAF,2008-02-01,2008-02-29,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,Index,61.475700,X,base year is 2015
ZAF,2009-02-01,2009-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,Index,71.265750,X,base year is 2015
ZAF,2010-02-01,2010-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,Index,72.417520,X,base year is 2015
ZAF,2011-02-01,2011-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,Index,75.009000,X,base year is 2015
ZAF,2012-02-01,2012-02-29,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,Index,82.351530,X,base year is 2015
ZAF,2013-02-01,2013-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,Index,87.102580,X,base year is 2015
ZAF,2014-02-01,2014-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,Index,92.285550,X,base year is 2015
ZAF,2015-02-01,2015-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,Index,97.900420,X,base year is 2015
ZAF,2016-02-01,2016-02-29,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,Index,107.114600,X,base year is 2015
ZAF,2017-02-01,2017-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,Index,118.344300,X,base year is 2015
ZAF,2018-02-01,2018-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,Index,122.375500,X,base year is 2015
ZAF,2019-02-01,2019-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,Index,125.830800,X,base year is 2015
ZAF,2020-02-01,2020-02-29,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,Index,131.157800,X,base year is 2015
ZAF,2021-02-01,2021-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,Index,137.780400,X,base year is 2015
ZAF,2022-02-01,2022-02-28,202,'710,South Africa,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2022,2022,Index,146.706700,X,base year is 2015
